feature,importance,share
city_hist_mean,0.5050300505402849,0.505030050540285
city_hist_std,0.17114413890141722,0.17114413890141725
pickup_baseline_remaining,0.06320688442381528,0.0632068844238153
city_weekday_mean,0.061460438542365464,0.06146043854236547
city_code,0.04734861635880778,0.047348616358807785
jalali_month,0.021136563527424913,0.021136563527424917
city_weekend_ratio,0.01581118033406767,0.015811180334067674
city_hist_p90,0.013337558394631003,0.013337558394631004
observed_total,0.010586778266216141,0.010586778266216143
pickup_baseline_prediction,0.010325811954048457,0.010325811954048459
market_pickup_7d,0.010171400157538611,0.010171400157538613
city_share_of_province,0.009400645046312037,0.009400645046312038
city_hist_median,0.007282163032968018,0.007282163032968019
city_volatility,0.006345110195582318,0.006345110195582319
city_hist_p75,0.005852007652636084,0.005852007652636085
days_to_checkin,0.004014061034107189,0.0040140610341071895
city_share_of_market,0.003634686031251277,0.0036346860312512774
days_since_last_search,0.0033291519576060524,0.003329151957606053
active_search_days,0.0024560750234911928,0.002456075023491193
expected_completion_fraction,0.002441230029144947,0.0024412300291449473
jalali_day,0.0023280754597586233,0.0023280754597586237
lat,0.0020760992119454517,0.002076099211945452
long,0.0020669441466848204,0.002066944146684821
market_pickup_velocity_7d,0.001851481513034509,0.0018514815130345093
market_observed_total,0.0017539226983725204,0.0017539226983725206
market_pickup_14d,0.0015973024922406017,0.001597302492240602
checkin_day_of_month,0.0013898789799303903,0.0013898789799303905
checkin_weekday,0.0011408036268718157,0.0011408036268718159
market_pickup_acceleration_7d,0.0011001755276931543,0.0011001755276931545
market_pickup_3d,0.0010456312354849018,0.001045631235484902
market_pickup_1d,0.0008643812510749152,0.0008643812510749153
market_pickup_acceleration_3d,0.0008313022167284316,0.0008313022167284317
days_since_first_search,0.000713688229867269,0.0007136882298672691
is_weekend,0.0006975196843171695,0.0006975196843171696
province_pickup_3d,0.0006329743103565253,0.0006329743103565254
expected_remaining_fraction,0.0006238562389742417,0.0006238562389742418
province_observed_total,0.0005679532230279027,0.0005679532230279028
province_code,0.0005151599203608399,0.00051515992036084
province_pickup_14d,0.0004930302613029408,0.0004930302613029409
province_pickup_1d,0.00042574530072789164,0.0004257453007278917
province_pickup_7d,0.00035241304689200134,0.0003524130468920014
province_pickup_acceleration_7d,0.000270683683982592,0.00027068368398259205
pickup_surprise,0.00026317490584372406,0.0002631749058437241
market_pickup_velocity_14d,0.0002624383104078446,0.00026243831040784465
pickup_1d_share,0.00019684553193647928,0.0001968455319364793
search_span,0.0001726439376065715,0.00017264393760657153
market_pickup_velocity_3d,0.00016721439649073367,0.0001672143964907337
pickup_7d_share,0.00015563423947001948,0.0001556342394700195
province_pickup_velocity_3d,0.00013868563244373585,0.00013868563244373588
pickup_3d,0.0001322844283160921,0.00013228442831609213
province_pickup_velocity_14d,0.00011772922521787842,0.00011772922521787843
mean_daily_search,0.00010499822965661268,0.0001049982296566127
pickup_3d_share,9.700349894559642e-05,9.700349894559643e-05
std_daily_search,9.105373091883171e-05,9.105373091883172e-05
province_pickup_acceleration_3d,9.04392596024079e-05,9.043925960240791e-05
max_daily_search,8.34831197502287e-05,8.348311975022871e-05
province_pickup_velocity_7d,6.853762858734118e-05,6.853762858734119e-05
pickup_1d,6.046378263966615e-05,6.0463782639666156e-05
pickup_acceleration_7d,3.4731103445187444e-05,3.473110344518745e-05
pickup_7d,3.328337737618735e-05,3.328337737618736e-05
pickup_14d,2.921921856927913e-05,2.9219218569279133e-05
pickup_velocity_3d,1.9326398487484483e-05,1.9326398487484486e-05
pickup_acceleration_3d,1.7748111676398767e-05,1.774811167639877e-05
pickup_3d_over_7d,4.407651628706031e-06,4.407651628706032e-06
pickup_velocity_14d,4.007835203190726e-06,4.007835203190727e-06
pickup_velocity_7d,1.0727824336417952e-06,1.0727824336417954e-06
