feature,importance,share
city_hist_mean,0.53958320096031,0.5395832009603099
city_hist_std,0.13827468596881815,0.13827468596881812
pickup_baseline_remaining,0.06522042863148374,0.06522042863148372
city_weekday_mean,0.058114716778256525,0.05811471677825651
city_code,0.0482266250466704,0.048226625046670385
jalali_month,0.019490506570492568,0.019490506570492564
city_weekend_ratio,0.014531441395080807,0.014531441395080804
city_hist_p90,0.013027635068362228,0.013027635068362225
observed_total,0.01283111513744917,0.012831115137449167
market_pickup_7d,0.011058108285930556,0.011058108285930554
city_hist_median,0.010809569389684056,0.010809569389684054
pickup_baseline_prediction,0.009119064980973578,0.009119064980973576
city_share_of_province,0.007430638465976834,0.0074306384659768325
city_share_of_market,0.006262611695466592,0.00626261169546659
days_to_checkin,0.0034840075564841707,0.00348400755648417
city_hist_p75,0.003421704244395161,0.00342170424439516
city_volatility,0.0032888650593106447,0.003288865059310644
market_pickup_14d,0.003033354637224041,0.0030333546372240403
expected_completion_fraction,0.0030085158158489533,0.0030085158158489524
days_since_last_search,0.002792658750803421,0.0027926587508034207
active_search_days,0.002675842115027521,0.0026758421150275204
long,0.002499948978897891,0.0024999489788978904
market_pickup_velocity_7d,0.002337695922159488,0.0023376959221594875
lat,0.002254192736352894,0.0022541927363528935
market_observed_total,0.0020170643301223824,0.002017064330122382
jalali_day,0.001593391121646757,0.0015933911216467565
checkin_day_of_month,0.0011472140775144785,0.0011472140775144783
checkin_weekday,0.0010877820874937993,0.0010877820874937991
market_pickup_3d,0.0010723040027539965,0.0010723040027539963
expected_remaining_fraction,0.0008434300202954704,0.0008434300202954702
market_pickup_acceleration_7d,0.0008319209088642073,0.0008319209088642071
market_pickup_1d,0.0007988883055348738,0.0007988883055348735
province_observed_total,0.0007137529711057012,0.0007137529711057011
province_pickup_14d,0.0006636791573312091,0.000663679157331209
province_pickup_3d,0.000628219663662125,0.0006282196636621249
is_weekend,0.0006234138918657871,0.000623413891865787
province_code,0.000608753356136414,0.0006087533561364139
market_pickup_velocity_14d,0.0005129046602700571,0.000512904660270057
market_pickup_acceleration_3d,0.0004966044443212275,0.0004966044443212274
days_since_first_search,0.0004921905013947939,0.0004921905013947938
province_pickup_7d,0.00046622674181013077,0.00046622674181013066
province_pickup_1d,0.0003859475024085514,0.00038594750240855127
province_pickup_acceleration_7d,0.0002932796806439455,0.00029327968064394547
pickup_surprise,0.0002613038439132255,0.00026130384391322544
market_pickup_velocity_3d,0.0002202576974195515,0.00022025769741955143
pickup_1d_share,0.00019307749801845405,0.000193077498018454
pickup_7d_share,0.0001630056455647852,0.00016300564556478517
province_pickup_velocity_3d,0.00013259666701415917,0.00013259666701415915
mean_daily_search,0.00011072755172246704,0.00011072755172246701
pickup_3d_share,0.00010388580855815827,0.00010388580855815824
province_pickup_velocity_14d,0.00010324968745355949,0.00010324968745355946
std_daily_search,9.424334670343742e-05,9.424334670343739e-05
province_pickup_acceleration_3d,8.627727143302515e-05,8.627727143302513e-05
province_pickup_velocity_7d,8.523269565217238e-05,8.523269565217237e-05
pickup_1d,8.349769666185099e-05,8.349769666185097e-05
max_daily_search,7.24619740688677e-05,7.246197406886769e-05
pickup_3d,7.12231869791558e-05,7.122318697915578e-05
search_span,4.710991204160859e-05,4.7109912041608576e-05
pickup_14d,2.9661115535135535e-05,2.966111553513553e-05
pickup_acceleration_7d,2.65435885179432e-05,2.6543588517943193e-05
pickup_7d,2.5502935756618257e-05,2.550293575661825e-05
pickup_acceleration_3d,1.6453118353653422e-05,1.645311835365342e-05
pickup_velocity_3d,8.712617180834335e-06,8.712617180834333e-06
pickup_3d_over_7d,6.310085839513045e-06,6.3100858395130435e-06
pickup_velocity_14d,2.670373415366201e-06,2.6703734153662004e-06
pickup_velocity_7d,1.8940655611765027e-06,1.8940655611765023e-06
