feature,importance,share
city_hist_mean,0.5347593374652471,0.5347593374652471
city_hist_std,0.15200604989732033,0.15200604989732033
pickup_baseline_remaining,0.06261707379797538,0.06261707379797538
city_code,0.05636143874045833,0.05636143874045833
city_hist_median,0.03609746708078615,0.03609746708078615
city_weekday_mean,0.025747772543588218,0.025747772543588218
city_weekend_ratio,0.014738387174307272,0.014738387174307272
city_hist_p75,0.014680255516020046,0.014680255516020046
city_share_of_province,0.013155359364429266,0.013155359364429266
observed_total,0.012225944770134901,0.012225944770134901
days_since_last_search,0.011468492040101416,0.011468492040101416
jalali_month,0.010107438982475158,0.010107438982475158
city_hist_p90,0.009689371421513517,0.009689371421513517
pickup_baseline_prediction,0.008766532173071686,0.008766532173071686
long,0.005346903408047915,0.005346903408047915
city_volatility,0.0031321473690004813,0.0031321473690004813
active_search_days,0.002910110978380437,0.002910110978380437
lat,0.002890266991586424,0.002890266991586424
city_share_of_market,0.0025824960727111137,0.0025824960727111137
expected_completion_fraction,0.00246600285651643,0.00246600285651643
days_to_checkin,0.0021099746479950705,0.0021099746479950705
jalali_day,0.001629457350947769,0.001629457350947769
checkin_day_of_month,0.0013429364056498703,0.0013429364056498703
checkin_weekday,0.001189500349814539,0.001189500349814539
market_observed_total,0.0009445869915782726,0.0009445869915782726
market_pickup_acceleration_7d,0.0008215791931050183,0.0008215791931050183
days_since_first_search,0.0007535674032923561,0.0007535674032923561
province_code,0.0006765733969989122,0.0006765733969989122
market_pickup_3d,0.0006702786605097685,0.0006702786605097685
province_observed_total,0.0006476893850136925,0.0006476893850136925
province_pickup_3d,0.0006202109902103443,0.0006202109902103443
province_pickup_14d,0.0005942100958475636,0.0005942100958475636
market_pickup_14d,0.000583069125116366,0.000583069125116366
is_weekend,0.0005585709210019641,0.0005585709210019641
market_pickup_1d,0.0005496228026898311,0.0005496228026898311
market_pickup_7d,0.0005301070937110585,0.0005301070937110585
expected_remaining_fraction,0.0004967080270872334,0.0004967080270872334
province_pickup_1d,0.00041307652202454334,0.00041307652202454334
market_pickup_acceleration_3d,0.0003956279534015327,0.0003956279534015327
province_pickup_7d,0.0003585951280284883,0.0003585951280284883
pickup_surprise,0.000303719503610721,0.000303719503610721
province_pickup_acceleration_7d,0.00030331663647450134,0.00030331663647450134
pickup_7d_share,0.00014920297888216654,0.00014920297888216654
mean_daily_search,0.00012895013058269208,0.00012895013058269208
market_pickup_velocity_14d,0.0001210246238225204,0.0001210246238225204
pickup_1d_share,0.00012049736429651369,0.00012049736429651369
province_pickup_velocity_3d,0.00011868224058494847,0.00011868224058494847
market_pickup_velocity_3d,0.00011051522450333028,0.00011051522450333028
max_daily_search,0.00010756934618777816,0.00010756934618777816
search_span,0.00010639803905928796,0.00010639803905928796
province_pickup_velocity_14d,9.905911424482686e-05,9.905911424482686e-05
std_daily_search,9.538371034756212e-05,9.538371034756212e-05
pickup_1d,9.498450061005197e-05,9.498450061005197e-05
province_pickup_acceleration_3d,9.199663227707586e-05,9.199663227707586e-05
pickup_3d_share,8.13014795527441e-05,8.13014795527441e-05
market_pickup_velocity_7d,7.664601791954452e-05,7.664601791954452e-05
pickup_3d,5.725822355579944e-05,5.725822355579944e-05
province_pickup_velocity_7d,5.097063728964661e-05,5.097063728964661e-05
pickup_14d,3.831914105567644e-05,3.831914105567644e-05
pickup_7d,3.672531849721329e-05,3.672531849721329e-05
pickup_acceleration_7d,3.215300920570492e-05,3.215300920570492e-05
pickup_acceleration_3d,1.4042338128075525e-05,1.4042338128075525e-05
pickup_velocity_3d,1.1821112495283672e-05,1.1821112495283672e-05
pickup_velocity_14d,7.750435665845395e-06,7.750435665845395e-06
pickup_velocity_7d,4.146672146252716e-06,4.146672146252716e-06
pickup_3d_over_7d,2.7744813084967177e-06,2.7744813084967177e-06
