city_code,cluster_code,province_code,volume,lat,long
1011,1011,149,232795.0,35.881989,52.16975
1013,1013,289,27.0,37.102367,58.510872
1053,1053,149,674165.0,36.721233,51.115971
1054,1054,289,52104.0,37.444752,59.105713
1120,1120,987,27976.0,35.691353,50.840694
1156,1156,149,2.0,36.516186,52.574413
1173,1120,987,8814.0,35.814018,52.513824
1177,1011,149,81041.0,36.237915,53.539406
1183,1183,987,28871052.0,35.702908,51.349758
1209,1209,289,2029.0,36.482105,59.159492
1224,1224,987,24675.0,35.4832,51.079914
1239,1239,929,10453.0,35.95195,50.604534
1265,1265,987,16712.0,35.603191,51.438709
1297,1297,424,1504.0,33.054802,51.081459
1299,1299,424,517271.0,32.37582,51.191242
1307,1307,149,15229.0,37.06598,50.394095
1317,1317,754,34037.0,37.033165,50.337051
1370,1370,929,65.0,35.984295,50.741203
1371,1371,289,17605.0,35.278458,59.21302
1402,1209,289,1159.0,35.476524,58.461693
1460,1460,424,22578.0,33.527657,52.217327
1494,1156,149,2.0,36.428494,53.135076
1496,1496,149,205920.0,36.691429,51.262627
1524,1524,490,3085.0,25.883463,55.029854
1553,1156,149,2.0,36.581875,52.814819
1572,1572,289,15012.0,35.6892,51.389
1629,1629,424,2.0,32.64008,51.500107
1638,1638,149,3053893.0,36.573074,52.015881
1668,1297,424,2545.0,31.93313,51.654179
1675,1307,149,1104.0,36.642227,53.203712
1751,1629,424,2.0,32.393505,51.33535
1782,1460,424,15671.0,33.677097,55.007885
1859,1859,424,5040.0,32.486511,51.778912
1895,1895,424,56341.0,33.504681,51.919071
1916,1224,987,15569.0,35.556149,52.162872
1931,1629,424,2.0,32.302784,52.205208
1960,1317,754,23346.0,38.309269,48.863491
1986,1460,424,15016.0,33.356579,52.378185
1996,1317,754,5263.0,37.159901,50.216652
2028,1496,149,50296.0,36.364048,52.735851
2099,2099,490,13620182.0,26.533424,53.973846
2101,2101,754,1246252.0,37.156036,48.98938
2108,2108,289,2.0,36.708546,57.408157
2126,1629,424,2.0,32.804607,51.618828
2136,2136,490,2.0,27.217744,53.036396
2154,1297,424,4415.0,33.447861,52.486664
2168,1297,424,6719.0,32.556114,51.573631
2195,2195,149,748972.0,36.477455,52.355835
2302,1629,424,2.0,31.061466,51.593582
2335,1859,424,467.0,32.626247,51.477116
2337,2337,490,15908.0,26.780315,56.065002
2363,1011,149,19059.0,36.701763,53.639572
2406,1265,987,671.0,35.490189,51.141045
2423,1859,424,5857.0,32.489532,51.407368
2424,2108,289,2.0,36.548656,61.148602
2451,2451,987,2.0,35.210861,51.673183
2483,2483,490,503592.0,26.964176,56.066223
2575,2108,289,2.0,36.351257,56.87804
2587,2587,754,420600.0,37.195675,50.147427
2642,2642,490,290928.0,27.203939,53.042725
2668,2668,424,110.0,33.419891,51.183338
2670,2670,424,62612.0,33.97245,51.148911
2692,2692,754,1159131.0,38.38718,48.869247
2728,1524,490,31099.0,26.807442,53.374735
2730,2730,929,1789.0,35.72459,50.361477
2751,1317,754,30061.0,36.741299,49.418541
2778,2778,754,2963144.0,37.202393,50.010818
2852,1317,754,30776.0,37.937489,48.916237
2854,1317,754,17846.0,37.089626,49.421825
2894,1156,149,2.0,36.598782,52.662739
2908,2451,987,2.0,35.415794,51.586674
2949,2949,987,2797714.0,35.633015,51.059704
2951,2108,289,2.0,35.959579,57.770226
2969,1224,987,144606.0,35.742348,51.821407
2992,2992,149,295.0,36.635235,52.626736
3042,1895,424,92433.0,33.450951,50.283363
3109,2108,289,2.0,35.585835,58.878971
3124,1317,754,246843.0,37.382153,49.651844
3127,3127,754,2.0,36.631256,49.514771
3140,3140,929,389028.0,36.172997,50.76849
3217,1120,987,145228.0,35.727848,51.868832
3312,1224,987,50320.0,35.687393,51.022392
3333,3333,149,587707.0,36.695541,53.534641
3351,3351,424,1912.0,32.378216,51.273262
3364,1239,929,13930.0,36.031448,51.173874
3365,3365,987,998511.0,35.73761,51.910423
3382,1011,149,7408.0,36.174187,53.266922
3396,1209,289,1028.0,35.282082,59.522121
3456,1209,289,1349.0,35.260281,57.97205
3478,1496,149,15246.0,36.670204,52.762276
3523,3523,149,3720156.0,36.81514,50.874363
3578,1156,149,2.0,36.68581,52.90699
3617,3617,987,1703.0,35.42234,51.785919
3723,2337,490,42378.0,26.547533,54.888924
3752,2136,490,2.0,27.358379,57.174626
3771,1317,754,8495.0,37.300159,49.218632
3832,1297,424,3820.0,32.715111,52.432518
3837,1895,424,8335.0,33.689751,52.011265
3870,1317,754,8997.0,37.150627,50.176182
3892,3892,149,649166.0,36.601292,52.139378
3914,1120,987,165008.0,35.953618,51.49081
3927,1297,424,5694.0,32.556267,51.50629
3933,1011,149,100880.0,36.06636,52.837914
3935,2108,289,2.0,34.983292,60.318756
4078,2108,289,2.0,36.13649,59.027069
4125,3617,987,2588.0,35.571861,51.087383
4138,1460,424,10029.0,32.394131,51.385895
4161,1317,754,147254.0,37.179142,49.697716
4174,2992,149,401.0,36.416595,52.656513
4192,1317,754,29196.0,37.362389,49.861843
4198,4198,754,33703.0,36.776726,49.752411
4235,4235,754,543139.0,37.151093,49.872372
4247,1011,149,25845.0,36.201221,51.806103
4252,1317,754,252813.0,37.302834,49.320122
4324,4324,149,4330527.0,36.088931,52.921852
4353,2337,490,8485.0,25.643616,57.774564
4380,1239,929,7224.0,35.748386,50.940781
4396,2730,929,1085.0,35.889408,50.614883
4397,2670,424,19608.0,34.058197,51.482487
4404,2108,289,2.0,34.975067,59.623047
4419,1054,289,274409.0,36.207928,58.794029
4516,2337,490,10770.0,26.733498,54.273415
4541,4541,754,2607.0,37.133598,49.367928
4609,4609,929,393360.0,35.838154,50.847981
4611,1209,289,5804.0,36.27899,59.34059
4655,4655,149,5296961.0,36.699024,51.199955
4684,1629,424,2.0,32.905769,51.80904
4729,2451,987,2.0,35.526245,51.403061
4756,4756,149,813411.0,36.570366,51.968861
4791,4791,754,2319498.0,37.2257,49.311001
4797,2451,987,2.0,35.596375,51.304565
4820,1371,289,15952.0,35.24276,58.459881
4879,3617,987,6906.0,35.51601,51.162189
4933,1317,754,14087.0,37.110168,50.113869
4946,1297,424,4732.0,32.704403,51.153179
4973,1239,929,32012.0,35.744541,51.068855
4981,4981,987,487524.0,35.901733,51.519836
4994,1629,424,2.0,32.379417,51.564823
4995,4995,490,19796829.0,26.948942,56.272881
4998,1629,424,2.0,31.528242,51.326473
5163,1307,149,2101.0,36.593922,53.211674
5171,1629,424,2.0,32.845421,51.74332
5241,1629,424,2.0,32.341774,51.500683
5244,1239,929,99382.0,35.950684,50.683861
5262,1239,929,77270.0,35.955669,50.793533
5265,1460,424,13880.0,32.683331,51.533596
5270,4541,754,9928.0,35.951717,52.115266
5297,5297,754,1822091.0,37.797498,48.904184
5303,5303,289,4.0,35.996597,59.593586
5309,1209,289,7439.0,36.5724,59.1928
5383,1629,424,2.0,32.377392,51.318905
5410,1307,149,1035.0,36.39558,51.589794
5413,5413,754,9245096.0,37.365501,49.131767
5414,5414,149,1037958.0,36.521194,52.67593
5434,1460,424,74845.0,32.864319,51.554676
5506,1054,289,47834.0,36.99456,59.749882
5529,2668,424,197.0,32.554897,51.371861
5640,5640,149,2662545.0,36.493694,51.144955
5657,1239,929,68951.0,35.727562,50.806129
5683,1297,424,3237.0,32.604481,51.547707
5686,1156,149,2.0,35.902943,52.21925
5720,1054,289,136230.0,36.395214,59.298195
5752,2108,289,2.0,36.297783,58.464157
5762,2108,289,2.0,34.739838,60.777138
5799,1524,490,244.0,27.097588,57.07415
5802,1496,149,134704.0,36.682331,51.334121
5818,2670,424,83647.0,33.75201,51.430649
5842,1224,987,17909.0,35.712482,51.112892
5850,1629,424,2.0,32.515644,51.541443
5927,5927,754,1152211.0,37.735703,48.945873
5933,2337,490,8135.0,26.733732,54.267502
5936,1496,149,137564.0,36.786312,50.867374
5947,1317,754,174125.0,37.087212,50.191029
5951,2136,490,2.0,27.018154,54.285995
5986,5986,987,1588774.0,35.693954,52.047218
6037,1224,987,60457.0,35.501045,51.225548
6081,1371,289,5010.0,34.562866,60.144295
6093,6093,149,525344.0,36.464352,52.865082
6095,1895,424,183062.0,33.21423,50.318871
6126,1629,424,2.0,32.821888,51.775871
6179,1265,987,2151.0,35.601929,51.06321
6197,6197,424,1125.0,33.306801,53.697029
6235,1859,424,484.0,32.141544,52.622619
6248,6248,149,1863725.0,36.676575,52.456791
6249,1460,424,37270.0,31.97666,51.849426
6261,1120,987,48940.0,35.759624,51.962959
6268,6268,149,2562920.0,36.671634,51.289491
6287,1224,987,66132.0,35.477882,50.946919
6379,2108,289,2.0,34.515488,58.181862
6397,2337,490,1606.0,26.458079,57.902054
6418,1120,987,83530.0,36.050816,51.415546
6430,1054,289,10058.0,36.642281,59.120838
6473,2108,289,2.0,35.544697,59.19418
6507,1317,754,8283.0,37.049774,50.236485
6520,6520,490,1946657.0,27.091141,56.457397
6553,1895,424,6344.0,32.986218,50.409138
6563,3617,987,3475.0,35.578758,51.114265
6593,6593,424,133.0,32.193328,51.49924
6603,1629,424,2.0,32.354958,51.380119
6613,1317,754,10168.0,37.256592,50.008205
6662,1224,987,101380.0,35.329395,51.634686
6692,2108,289,2.0,36.105892,59.060467
6720,1895,424,88142.0,31.414553,51.571869
6728,2992,149,384.0,36.37146,52.565693
6733,1317,754,100676.0,37.277164,49.768139
6738,2136,490,2.0,27.943184,56.656979
6752,1011,149,175908.0,36.446316,51.295593
6753,1460,424,42679.0,32.860447,53.095615
6782,4198,754,107917.0,36.884071,49.491573
6862,4198,754,69849.0,36.893909,49.525669
6886,6886,149,2546386.0,36.566883,53.060017
6888,1629,424,2.0,34.041313,54.414467
