feature,importance,share
pickup_baseline_remaining,0.8097686098030678,0.8097686098030678
city_share_of_market,0.059148721829908865,0.059148721829908865
observed_total,0.01742872189841621,0.01742872189841621
pickup_velocity_7d,0.017174468920577675,0.017174468920577675
pickup_7d,0.016739055844786323,0.016739055844786323
city_code,0.01493554739933049,0.01493554739933049
pickup_14d,0.014062638550692137,0.014062638550692137
pickup_3d,0.012105617805375703,0.012105617805375703
jalali_month,0.009671273842856001,0.009671273842856001
expected_completion_fraction,0.0051115670505637156,0.0051115670505637156
days_to_checkin,0.005060834426739626,0.005060834426739626
active_search_days,0.0037872496707177642,0.0037872496707177642
jalali_day,0.00353325401641863,0.00353325401641863
is_weekend,0.002804577768477876,0.002804577768477876
province_observed_total,0.0019663103532713243,0.0019663103532713243
pickup_surprise,0.0015980105533942085,0.0015980105533942085
checkin_weekday,0.0014375979479352742,0.0014375979479352742
pickup_1d,0.0011704714928463015,0.0011704714928463015
pickup_acceleration_7d,0.0007737514041720294,0.0007737514041720294
pickup_3d_over_7d,0.0006915927279251547,0.0006915927279251547
province_code,0.0006312574525473917,0.0006312574525473917
days_since_last_search,0.00039886923997955385,0.00039886923997955385
