city_code,cluster_code,province_code,volume,lat,long
1011,1011,149,177528.0,35.881989,52.16975
1013,1013,289,20.0,37.102367,58.510872
1053,1053,149,451680.0,36.721233,51.115971
1054,1054,289,39776.0,37.444752,59.105713
1120,1120,987,18978.0,35.691353,50.840694
1156,1156,149,2.0,36.516186,52.574413
1173,1173,987,4709.0,35.814018,52.513824
1177,1011,149,50814.0,36.237915,53.539406
1183,1183,987,22646006.0,35.702908,51.349758
1209,1209,289,952.0,36.482105,59.159492
1224,1224,987,18101.0,35.4832,51.079914
1239,1239,929,6417.0,35.95195,50.604534
1265,1265,987,6997.0,35.603191,51.438709
1297,1297,424,1149.0,33.054802,51.081459
1299,1299,424,337037.0,32.37582,51.191242
1307,1307,149,8582.0,37.06598,50.394095
1317,1317,754,22437.0,37.033165,50.337051
1370,1370,929,49.0,35.984295,50.741203
1371,1371,289,13151.0,35.278458,59.21302
1402,1402,289,931.0,35.476524,58.461693
1460,1460,424,21206.0,33.527657,52.217327
1494,1156,149,2.0,36.428494,53.135076
1496,1496,149,145019.0,36.691429,51.262627
1524,1524,490,2561.0,25.883463,55.029854
1553,1156,149,2.0,36.581875,52.814819
1572,1572,289,13033.0,35.6892,51.389
1629,1629,424,2.0,32.64008,51.500107
1638,1638,149,2064468.0,36.573074,52.015881
1668,1460,424,1796.0,31.93313,51.654179
1675,1675,149,817.0,36.642227,53.203712
1751,1629,424,2.0,32.393505,51.33535
1782,1782,424,14399.0,33.677097,55.007885
1859,1859,424,2076.0,32.486511,51.778912
1895,1782,424,47466.0,33.504681,51.919071
1916,1120,987,8719.0,35.556149,52.162872
1931,1629,424,2.0,32.302784,52.205208
1960,1317,754,15644.0,38.309269,48.863491
1986,1460,424,11882.0,33.356579,52.378185
1996,1317,754,3996.0,37.159901,50.216652
2028,1496,149,33838.0,36.364048,52.735851
2099,2099,490,12125010.0,26.533424,53.973846
2101,2101,754,895725.0,37.156036,48.98938
2108,2108,289,2.0,36.708546,57.408157
2126,1629,424,2.0,32.804607,51.618828
2136,2136,490,2.0,27.217744,53.036396
2154,1460,424,3809.0,33.447861,52.486664
2168,1297,424,6342.0,32.556114,51.573631
2195,2195,149,498224.0,36.477455,52.355835
2302,1629,424,2.0,31.061466,51.593582
2335,1859,424,297.0,32.626247,51.477116
2337,2337,490,14962.0,26.780315,56.065002
2363,1011,149,12709.0,36.701763,53.639572
2406,1173,987,512.0,35.490189,51.141045
2423,1859,424,2681.0,32.489532,51.407368
2424,2108,289,2.0,36.548656,61.148602
2451,2451,987,2.0,35.210861,51.673183
2483,2483,490,473832.0,26.964176,56.066223
2575,2108,289,2.0,36.351257,56.87804
2587,2587,754,300787.0,37.195675,50.147427
2642,2642,490,281225.0,27.203939,53.042725
2668,1629,424,2.0,33.419891,51.183338
2670,2670,424,51573.0,33.97245,51.148911
2692,2692,754,799716.0,38.38718,48.869247
2728,1524,490,26636.0,26.807442,53.374735
2730,1370,929,537.0,35.72459,50.361477
2751,1317,754,19318.0,36.741299,49.418541
2778,2778,754,2102602.0,37.202393,50.010818
2852,1317,754,21317.0,37.937489,48.916237
2854,1317,754,11770.0,37.089626,49.421825
2894,1156,149,2.0,36.598782,52.662739
2908,2451,987,2.0,35.415794,51.586674
2949,2949,987,1953069.0,35.633015,51.059704
2951,2108,289,2.0,35.959579,57.770226
2969,1120,987,77378.0,35.742348,51.821407
2992,2992,149,92.0,36.635235,52.626736
3042,1782,424,61776.0,33.450951,50.283363
3109,2108,289,2.0,35.585835,58.878971
3124,3124,754,168837.0,37.382153,49.651844
3127,3127,754,2.0,36.631256,49.514771
3140,3140,929,225896.0,36.172997,50.76849
3217,3217,987,90599.0,35.727848,51.868832
3312,1224,987,37111.0,35.687393,51.022392
3333,3333,149,412736.0,36.695541,53.534641
3351,1859,424,539.0,32.378216,51.273262
3364,1239,929,7941.0,36.031448,51.173874
3365,3365,987,645716.0,35.73761,51.910423
3382,1496,149,4802.0,36.174187,53.266922
3396,1402,289,879.0,35.282082,59.522121
3456,1209,289,572.0,35.260281,57.97205
3478,1496,149,9621.0,36.670204,52.762276
3523,3523,149,2609813.0,36.81514,50.874363
3578,1156,149,2.0,36.68581,52.90699
3617,1173,987,1207.0,35.42234,51.785919
3723,2337,490,38766.0,26.547533,54.888924
3752,2136,490,2.0,27.358379,57.174626
3771,1317,754,6265.0,37.300159,49.218632
3832,1460,424,3055.0,32.715111,52.432518
3837,3837,424,7213.0,33.689751,52.011265
3870,1317,754,6119.0,37.150627,50.176182
3892,3892,149,472300.0,36.601292,52.139378
3914,3217,987,107335.0,35.953618,51.49081
3927,1460,424,4187.0,32.556267,51.50629
3933,1011,149,61866.0,36.06636,52.837914
3935,2108,289,2.0,34.983292,60.318756
4078,2108,289,2.0,36.13649,59.027069
4125,1173,987,1761.0,35.571861,51.087383
4138,1460,424,7379.0,32.394131,51.385895
4161,3124,754,103891.0,37.179142,49.697716
4174,2992,149,124.0,36.416595,52.656513
4192,1317,754,19975.0,37.362389,49.861843
4198,3124,754,20347.0,36.776726,49.752411
4235,4235,754,362052.0,37.151093,49.872372
4247,1496,149,13129.0,36.201221,51.806103
4252,3124,754,174813.0,37.302834,49.320122
4324,4324,149,2902635.0,36.088931,52.921852
4353,2337,490,7691.0,25.643616,57.774564
4380,1239,929,5269.0,35.748386,50.940781
4396,4396,929,790.0,35.889408,50.614883
4397,3837,424,17469.0,34.058197,51.482487
4404,2108,289,2.0,34.975067,59.623047
4419,1054,289,197194.0,36.207928,58.794029
4516,2337,490,9909.0,26.733498,54.273415
4541,4541,754,1719.0,37.133598,49.367928
4609,4609,929,276509.0,35.838154,50.847981
4611,1209,289,2516.0,36.27899,59.34059
4655,4655,149,3798137.0,36.699024,51.199955
4684,1629,424,2.0,32.905769,51.80904
4729,2451,987,2.0,35.526245,51.403061
4756,4756,149,578096.0,36.570366,51.968861
4791,4791,754,1588999.0,37.2257,49.311001
4797,2451,987,2.0,35.596375,51.304565
4820,1371,289,11832.0,35.24276,58.459881
4879,1173,987,4331.0,35.51601,51.162189
4933,1317,754,9978.0,37.110168,50.113869
4946,1460,424,3584.0,32.704403,51.153179
4973,1239,929,22758.0,35.744541,51.068855
4981,4981,987,314212.0,35.901733,51.519836
4994,1629,424,2.0,32.379417,51.564823
4995,4995,490,18751049.0,26.948942,56.272881
4998,1629,424,2.0,31.528242,51.326473
5163,1675,149,1219.0,36.593922,53.211674
5171,1629,424,2.0,32.845421,51.74332
5241,1629,424,2.0,32.341774,51.500683
5244,1239,929,59706.0,35.950684,50.683861
5262,1239,929,52698.0,35.955669,50.793533
5265,1460,424,10664.0,32.683331,51.533596
5270,5270,754,3451.0,35.951717,52.115266
5297,5297,754,1188057.0,37.797498,48.904184
5303,5303,289,4.0,35.996597,59.593586
5309,1402,289,3283.0,36.5724,59.1928
5383,1629,424,2.0,32.377392,51.318905
5410,1307,149,352.0,36.39558,51.589794
5413,5413,754,6143323.0,37.365501,49.131767
5414,5414,149,707356.0,36.521194,52.67593
5434,1460,424,56477.0,32.864319,51.554676
5506,1054,289,30126.0,36.99456,59.749882
5529,5529,424,90.0,32.554897,51.371861
5640,5640,149,1692592.0,36.493694,51.144955
5657,1239,929,49595.0,35.727562,50.806129
5683,1460,424,2508.0,32.604481,51.547707
5686,1156,149,2.0,35.902943,52.21925
5720,1054,289,88884.0,36.395214,59.298195
5752,2108,289,2.0,36.297783,58.464157
5762,2108,289,2.0,34.739838,60.777138
5799,1524,490,226.0,27.097588,57.07415
5802,1496,149,87026.0,36.682331,51.334121
5818,2670,424,68470.0,33.75201,51.430649
5842,1224,987,14053.0,35.712482,51.112892
5850,1629,424,2.0,32.515644,51.541443
