feature,importance,share
pickup_baseline_remaining,0.8058263265444232,0.8058263265444232
city_share_of_market,0.05614240326532908,0.05614240326532908
city_code,0.02354994129355014,0.02354994129355014
observed_total,0.017400582116549924,0.017400582116549924
pickup_7d,0.017294661732125953,0.017294661732125953
pickup_velocity_7d,0.016458478840383924,0.016458478840383924
pickup_14d,0.013796527753179477,0.013796527753179477
pickup_3d,0.009949245333206335,0.009949245333206335
jalali_month,0.008187234753605936,0.008187234753605936
expected_completion_fraction,0.006632745301220746,0.006632745301220746
active_search_days,0.005264724739226493,0.005264724739226493
days_to_checkin,0.004950629995733473,0.004950629995733473
province_observed_total,0.003387533348115133,0.003387533348115133
jalali_day,0.003092788127862748,0.003092788127862748
is_weekend,0.002277191784776223,0.002277191784776223
checkin_weekday,0.0016980885617711144,0.0016980885617711144
pickup_1d,0.0009307850916203305,0.0009307850916203305
pickup_3d_over_7d,0.0007429375156711359,0.0007429375156711359
pickup_surprise,0.0007229978767663987,0.0007229978767663987
province_code,0.0006702365138119916,0.0006702365138119916
pickup_acceleration_7d,0.0006358308359406789,0.0006358308359406789
days_since_last_search,0.0003881086751296118,0.0003881086751296118
