feature,importance,share
pickup_baseline_remaining,0.802366147076836,0.8023661470768361
city_share_of_market,0.059377342579418554,0.05937734257941856
observed_total,0.021964644788759743,0.021964644788759747
pickup_7d,0.019073763796251426,0.01907376379625143
city_code,0.019046941525078954,0.019046941525078957
pickup_velocity_7d,0.017001325863189545,0.01700132586318955
pickup_3d,0.011450303547860183,0.011450303547860185
jalali_month,0.009546414853413353,0.009546414853413355
pickup_14d,0.009435211739351568,0.00943521173935157
expected_completion_fraction,0.00675926442945075,0.006759264429450751
jalali_day,0.004297762727545234,0.004297762727545235
days_to_checkin,0.004202925971137326,0.0042029259711373265
active_search_days,0.0040774568735177565,0.004077456873517757
province_observed_total,0.0026543371826231346,0.002654337182623135
is_weekend,0.0024568408359410933,0.0024568408359410938
checkin_weekday,0.0016886032714890401,0.0016886032714890403
pickup_1d,0.001310393005378362,0.0013103930053783622
pickup_acceleration_7d,0.0008450613442090488,0.0008450613442090489
province_code,0.0007481993215724328,0.0007481993215724329
pickup_surprise,0.0006870974761286317,0.0006870974761286318
pickup_3d_over_7d,0.0006538374149758964,0.0006538374149758965
days_since_last_search,0.0003561243758719747,0.00035612437587197475
