feature,importance,share
city_code,0.4432170022816194,0.4432170022816194
days_since_last_search,0.2032962185523879,0.2032962185523879
pickup_baseline_remaining,0.143952216601416,0.143952216601416
observed_total,0.11831347246225675,0.11831347246225675
active_search_days,0.01924032328813526,0.01924032328813526
province_code,0.014488981011188229,0.014488981011188229
expected_completion_fraction,0.011650966031734133,0.011650966031734133
days_to_checkin,0.010707369978316209,0.010707369978316209
city_share_of_market,0.01065976512331881,0.01065976512331881
jalali_month,0.008995877161866169,0.008995877161866169
province_observed_total,0.006041754702880629,0.006041754702880629
jalali_day,0.0036708408940576104,0.0036708408940576104
checkin_weekday,0.002129608531881871,0.002129608531881871
pickup_surprise,0.0011742330360133152,0.0011742330360133152
is_weekend,0.0010219270792527913,0.0010219270792527913
pickup_3d,0.0003571254004604257,0.0003571254004604257
pickup_14d,0.00026520754599044903,0.00026520754599044903
pickup_1d,0.00023777949560154597,0.00023777949560154597
pickup_acceleration_7d,0.00023580701546418263,0.00023580701546418263
pickup_7d,0.00019458919197900187,0.00019458919197900187
pickup_3d_over_7d,0.00011454109949079143,0.00011454109949079143
pickup_velocity_7d,3.439351468857123e-05,3.439351468857123e-05
