experiment,stage,wape,normalised_bias,mae,runtime_seconds,train_wape,validation_minus_train_wape,n_features,model,feature_groups,wape_2024-11-21,wape_2025-05-21,wape_2025-08-21,wape_2025-09-22,wape_2025-10-22,wape_h1-3,wape_h4-7,wape_h8-14,wape_h15-21,wape_h22-30
CHAMPION calibrated (guarded_bias_horizon),champion,0.147927,-0.068189,197.9773,337.5,0.068722,0.079205,,lightgbm,"base,pickup,velocity,activity,curve,calendar,city,market,province",0.121684,0.272169,0.114597,0.09263,0.095324,0.029215,0.060656,0.107822,0.12444,0.263073
CHAMPION calibrated (horizon_shrunk),calibration_candidate,0.149292,-0.071386,199.8035,337.5,0.068722,0.08057,,lightgbm,"base,pickup,velocity,activity,curve,calendar,city,market,province",0.121684,0.279842,0.11581,0.09006,0.09236,0.028865,0.065006,0.10868,0.12525,0.264791
CHAMPION raw lightgbm,champion_raw,0.15508,-0.098551,207.5496,337.5,0.068722,0.086358,,lightgbm,"base,pickup,velocity,activity,curve,calendar,city,market,province",0.121684,0.270578,0.1182,0.108232,0.118609,0.029215,0.060656,0.11351,0.131304,0.276175
CHAMPION calibrated (bias_horizon_shrunk),calibration_candidate,0.172189,-0.013367,230.4476,337.5,0.068722,0.103467,,lightgbm,"base,pickup,velocity,activity,curve,calendar,city,market,province",0.121684,0.281661,0.183897,0.095547,0.097565,0.028223,0.069148,0.11076,0.124614,0.335921
E0 pickup baseline,baseline,0.219991,-0.149974,294.4226,0.0,,,,,,0.206532,0.299927,0.197624,0.159896,0.21665,0.039717,0.100363,0.1664,0.219224,0.356821
"E1 calibrated baseline (horizon, shrunk)",calibration,0.220576,-0.119797,295.2061,0.01,,,,,,0.186245,0.323531,0.183532,0.188904,0.186901,0.041659,0.108123,0.154671,0.212962,0.369357
E1 calibrated baseline (global),calibration,0.228945,-0.132806,306.4064,0.0,,,,,,0.189871,0.353096,0.185888,0.185062,0.190656,0.038753,0.116411,0.18135,0.220316,0.368295
