cut_height,mean_groups,aggregation_ratio,merged_demand_share,wape,normalised_bias,mae,wape_city_model_same_rows,sparse_slice_wape,sparse_slice_demand_share,wape_2024-11-21,wape_2025-08-21,wape_2025-10-22,groups_2024-11-21,groups_2025-08-21,groups_2025-10-22
0.0,321.0,1.0,0.0,0.120168,-0.051327,149.6277,,,,0.125988,0.119047,0.118344,321,321,321
0.147374,283.0,0.8816,0.00337993,0.120787,-0.050145,170.593,0.120008,0.214129,0.00436705,0.122148,0.120765,0.119874,279,284,286
0.33583,233.33,0.7269,0.01912806,0.121923,-0.052925,208.8517,0.119392,0.224097,0.01922181,0.118732,0.123514,0.120952,238,231,231
0.51142,198.67,0.6189,0.02360707,0.12129,-0.052803,244.0213,0.118993,0.235521,0.02264177,0.120071,0.121922,0.12087,197,199,200
0.864659,153.33,0.4777,0.02725655,0.119969,-0.057037,312.7248,0.118475,0.239035,0.02659612,0.117873,0.120107,0.121163,156,154,150
1.970305,110.33,0.3437,0.0293704,0.117699,-0.051103,426.3768,0.117952,0.24514,0.0283211,0.117595,0.115047,0.12312,115,109,107
20.854305,74.33,0.2316,0.02996287,0.118373,-0.050096,636.4999,0.11754,0.245638,0.02843432,0.118787,0.115713,0.123447,74,75,74
