feature,importance,share
city_hist_p75,0.32839785508488345,0.3283978550848834
city_hist_mean,0.22720251228729926,0.2272025122872992
city_weekday_mean,0.1445999650409117,0.14459996504091166
city_hist_median,0.09504636394144401,0.09504636394144399
pickup_baseline_remaining,0.05442460804251757,0.05442460804251756
city_hist_p90,0.03399541145683758,0.03399541145683757
city_volatility,0.023752961381852424,0.023752961381852417
city_code,0.02057640406029329,0.020576404060293287
city_hist_std,0.013609480345513396,0.013609480345513392
jalali_month,0.00788631852455452,0.007886318524554518
days_since_last_search,0.007730256244906171,0.00773025624490617
observed_total,0.005412396861182843,0.005412396861182842
pickup_baseline_prediction,0.0046192814029869115,0.004619281402986911
days_to_checkin,0.002618734124732284,0.0026187341247322837
expected_completion_fraction,0.002514693784120385,0.0025146937841203846
province_observed_total,0.002272390148009576,0.0022723901480095755
province_pickup_14d,0.0021318585889432856,0.002131858588943285
checkin_day_of_month,0.0017582290760859882,0.0017582290760859878
jalali_day,0.0017141165982380085,0.001714116598238008
pickup_surprise,0.0015369648852942034,0.001536964885294203
active_search_days,0.0014895238541182492,0.0014895238541182488
checkin_weekday,0.0012504507531090729,0.0012504507531090727
market_observed_total,0.001029111867184465,0.0010291118671844647
market_pickup_acceleration_7d,0.0010252706072093234,0.0010252706072093232
city_share_of_province,0.0009440070035175348,0.0009440070035175345
market_pickup_3d,0.0008397678376368438,0.0008397678376368436
market_pickup_1d,0.0007422937278986033,0.000742293727898603
lat,0.0006906042837312078,0.0006906042837312077
city_weekend_ratio,0.000678621964670381,0.0006786219646703809
market_pickup_acceleration_3d,0.0006397364493119507,0.0006397364493119506
market_pickup_7d,0.0006390774101136194,0.0006390774101136193
is_weekend,0.0006181756811602654,0.0006181756811602653
market_pickup_14d,0.0006075745063759877,0.0006075745063759876
city_share_of_market,0.0005790816743776598,0.0005790816743776597
province_pickup_3d,0.0005759901636653229,0.0005759901636653228
days_since_first_search,0.0005701929957116778,0.0005701929957116777
expected_remaining_fraction,0.0005489344166432347,0.0005489344166432346
province_pickup_1d,0.0005271270941813038,0.0005271270941813037
long,0.0004960559379047945,0.0004960559379047944
search_span,0.00046732582395398625,0.00046732582395398614
province_pickup_7d,0.00044337796309131883,0.0004433779630913187
province_pickup_velocity_14d,0.0003492140855319652,0.00034921408553196517
province_pickup_acceleration_7d,0.0003447102094106788,0.00034471020941067876
province_code,0.00017956524846803176,0.00017956524846803173
pickup_7d_share,0.0001773288664667226,0.00017732886646672257
mean_daily_search,0.00017327623134964516,0.00017327623134964513
province_pickup_acceleration_3d,0.00015111227741354213,0.0001511122774135421
max_daily_search,0.00015000663064305584,0.00015000663064305582
std_daily_search,0.0001431755535779185,0.00014317555357791847
pickup_1d_share,0.0001415116350167737,0.00014151163501677368
market_pickup_velocity_3d,0.00013200357601267346,0.00013200357601267343
province_pickup_velocity_3d,0.00012665999190407496,0.00012665999190407493
market_pickup_velocity_14d,0.00012388762338320954,0.00012388762338320952
province_pickup_velocity_7d,9.317181859391288e-05,9.317181859391285e-05
pickup_3d_share,8.975643700391857e-05,8.975643700391855e-05
pickup_1d,7.16840716557525e-05,7.168407165575249e-05
pickup_acceleration_7d,6.94974949380457e-05,6.949749493804568e-05
market_pickup_velocity_7d,6.464443546454517e-05,6.464443546454516e-05
pickup_14d,5.652415746842733e-05,5.652415746842732e-05
pickup_3d,5.575059073515368e-05,5.5750590735153665e-05
pickup_7d,3.9333968510846484e-05,3.933396851084648e-05
pickup_acceleration_3d,3.0267077989884428e-05,3.026707798988442e-05
pickup_3d_over_7d,1.2414766152141846e-05,1.2414766152141843e-05
pickup_velocity_14d,9.632651616707002e-06,9.632651616707e-06
pickup_velocity_7d,6.702773891341333e-06,6.702773891341331e-06
pickup_velocity_3d,5.063930627407992e-06,5.063930627407991e-06
