feature,importance,share
city_weekday_mean,0.36604271613622774,0.3660427161362277
city_hist_p75,0.14055856225664798,0.14055856225664795
city_hist_median,0.1313702980256644,0.13137029802566438
city_hist_p90,0.08764640529465156,0.08764640529465155
city_hist_mean,0.08391621196183824,0.08391621196183822
pickup_baseline_remaining,0.06540800106181698,0.06540800106181696
city_volatility,0.038341593714288844,0.03834159371428884
city_code,0.026957429251423613,0.026957429251423606
pickup_baseline_prediction,0.011068003584331396,0.011068003584331394
jalali_month,0.006560509211528924,0.006560509211528922
days_since_last_search,0.004365038570701801,0.0043650385707018
expected_completion_fraction,0.0040294125571530715,0.004029412557153071
days_to_checkin,0.003654383812923401,0.0036543838129234002
observed_total,0.0031826203438499977,0.003182620343849997
days_since_first_search,0.0017892101082585378,0.0017892101082585374
jalali_day,0.0014152270204615017,0.0014152270204615014
checkin_weekday,0.0013028309993003986,0.0013028309993003983
checkin_day_of_month,0.0012706437639763409,0.0012706437639763406
city_hist_std,0.0011587619468398913,0.0011587619468398911
lat,0.0011244705837462562,0.001124470583746256
market_observed_total,0.0011168026315355579,0.0011168026315355576
market_pickup_acceleration_7d,0.0010481171377346927,0.0010481171377346925
market_pickup_3d,0.0010140310963707893,0.001014031096370789
city_share_of_province,0.0009997106918586513,0.000999710691858651
is_weekend,0.0009413715933212411,0.0009413715933212409
expected_remaining_fraction,0.000903088065642369,0.0009030880656423687
province_pickup_3d,0.0008786168107139325,0.0008786168107139323
market_pickup_1d,0.0008420982705967838,0.0008420982705967836
active_search_days,0.0008327919078266375,0.0008327919078266373
province_observed_total,0.0008319371291513849,0.0008319371291513847
market_pickup_7d,0.000816064886122607,0.0008160648861226067
province_pickup_14d,0.0007871228586856689,0.0007871228586856687
province_pickup_7d,0.000718499601337275,0.0007184996013372749
market_pickup_14d,0.0006551993850136723,0.0006551993850136722
city_share_of_market,0.0006333347310199167,0.0006333347310199166
pickup_surprise,0.000629887247113438,0.0006298872471134379
long,0.0006197232989586153,0.0006197232989586152
market_pickup_acceleration_3d,0.000589669966578724,0.0005896699665787239
city_weekend_ratio,0.0005261944709301817,0.0005261944709301816
province_pickup_1d,0.0004688379338168167,0.00046883793381681657
province_pickup_acceleration_7d,0.0003716591125963957,0.0003716591125963956
province_code,0.00024228036766907587,0.0002422803676690758
search_span,0.00022258897477580382,0.00022258897477580377
pickup_1d_share,0.00019230551871786386,0.0001923055187178638
province_pickup_velocity_3d,0.00018705708824415327,0.00018705708824415322
pickup_7d_share,0.0001811675859142023,0.00018116758591420228
mean_daily_search,0.00016379822441684903,0.000163798224416849
market_pickup_velocity_3d,0.00015981022398687053,0.0001598102239868705
province_pickup_acceleration_3d,0.0001273641845550563,0.00012736418455505628
market_pickup_velocity_14d,0.00012681996833231154,0.00012681996833231152
province_pickup_velocity_7d,0.00011993031399982241,0.00011993031399982238
std_daily_search,0.00011940331065008779,0.00011940331065008776
province_pickup_velocity_14d,0.00011737084304820012,0.0001173708430482001
max_daily_search,0.00011504172776654836,0.00011504172776654833
pickup_3d_share,0.00010826928070057714,0.00010826928070057711
market_pickup_velocity_7d,0.00010410021946361886,0.00010410021946361884
pickup_3d,7.58135319633296e-05,7.581353196332959e-05
pickup_1d,6.433072133065387e-05,6.433072133065386e-05
pickup_14d,4.886295545547427e-05,4.8862955455474254e-05
pickup_acceleration_7d,4.473818247484523e-05,4.473818247484522e-05
pickup_7d,4.1464262032383985e-05,4.146426203238398e-05
pickup_acceleration_3d,1.8284265237253157e-05,1.8284265237253154e-05
pickup_3d_over_7d,1.0845306996294917e-05,1.0845306996294915e-05
pickup_velocity_14d,1.0184997877653314e-05,1.0184997877653312e-05
pickup_velocity_7d,6.804424196480452e-06,6.80442419648045e-06
pickup_velocity_3d,4.274487638381487e-06,4.2744876383814864e-06
