feature,importance,share
city_hist_mean,0.30731874268988224,0.3073187426898823
city_hist_p75,0.2708962948100171,0.27089629481001715
city_weekday_mean,0.20207719556934092,0.20207719556934095
city_hist_median,0.05961693969251415,0.05961693969251416
city_hist_p90,0.053602146375168275,0.05360214637516828
pickup_baseline_remaining,0.043359680184370794,0.0433596801843708
city_code,0.017842148475060382,0.017842148475060386
city_hist_std,0.010726955659993957,0.010726955659993959
jalali_month,0.005404216484409956,0.0054042164844099565
pickup_baseline_prediction,0.0031245584228393017,0.003124558422839302
expected_completion_fraction,0.0022867257969899878,0.002286725796989988
days_to_checkin,0.0022627474832497964,0.002262747483249797
jalali_day,0.0017827182614118626,0.0017827182614118628
checkin_day_of_month,0.0016828614232086325,0.0016828614232086328
city_share_of_province,0.001094457728861775,0.0010944577288617753
checkin_weekday,0.0010638288302184332,0.0010638288302184334
market_observed_total,0.0009367265786496144,0.0009367265786496145
province_observed_total,0.0008796908646967966,0.0008796908646967967
city_weekend_ratio,0.0008767799498378513,0.0008767799498378514
market_pickup_acceleration_7d,0.0008317187920860245,0.0008317187920860247
market_pickup_14d,0.0007435307718965193,0.0007435307718965194
province_pickup_14d,0.00067967542821705,0.0006796754282170501
city_share_of_market,0.00067758739422715,0.0006775873942271501
market_pickup_7d,0.0006404674786864346,0.0006404674786864347
is_weekend,0.0006175529109153832,0.0006175529109153833
market_pickup_1d,0.0006165396980186102,0.0006165396980186103
province_pickup_3d,0.0005879320267782366,0.0005879320267782367
market_pickup_acceleration_3d,0.0005258707941413838,0.000525870794141384
city_volatility,0.0005223146452897937,0.0005223146452897938
lat,0.0005089511161710332,0.0005089511161710333
market_pickup_3d,0.0005038919197058747,0.0005038919197058748
province_pickup_1d,0.0004473301214738653,0.0004473301214738654
expected_remaining_fraction,0.0004355349896222007,0.00043553498962220076
long,0.0004213783740031617,0.00042137837400316175
province_pickup_7d,0.00037555316567532533,0.0003755531656753254
province_pickup_acceleration_7d,0.0003634361675256074,0.00036343616752560745
days_since_first_search,0.0003218494708275205,0.00032184947082752055
pickup_surprise,0.0002467774234431244,0.0002467774234431245
mean_daily_search,0.00023883834052441927,0.0002388383405244193
active_search_days,0.0001974973000672125,0.00019749730006721252
pickup_7d_share,0.00019705365798561284,0.00019705365798561287
search_span,0.00018817980367089124,0.00018817980367089127
max_daily_search,0.00016586957322787486,0.00016586957322787488
std_daily_search,0.0001649082914473526,0.00016490829144735262
market_pickup_velocity_14d,0.00016487164111116288,0.0001648716411111629
observed_total,0.0001639218209840177,0.00016392182098401773
province_pickup_acceleration_3d,0.00016108915348313658,0.0001610891534831366
province_code,0.00015621623747342844,0.00015621623747342846
pickup_1d_share,0.00015037466937164185,0.00015037466937164188
province_pickup_velocity_3d,0.0001464381746726038,0.00014643817467260384
days_since_last_search,0.00012163528587979717,0.00012163528587979718
pickup_3d_share,0.00011036498628626837,0.00011036498628626838
province_pickup_velocity_14d,0.00011001267935469617,0.00011001267935469619
market_pickup_velocity_3d,9.125680414172e-05,9.125680414172002e-05
pickup_14d,8.996282730751315e-05,8.996282730751316e-05
pickup_acceleration_7d,7.326495824310243e-05,7.326495824310244e-05
market_pickup_velocity_7d,6.758755747630194e-05,6.758755747630195e-05
pickup_1d,6.561615753477849e-05,6.56161575347785e-05
pickup_3d,6.382290478947041e-05,6.382290478947042e-05
province_pickup_velocity_7d,5.7218790728559636e-05,5.721879072855964e-05
pickup_acceleration_3d,4.5232513614837615e-05,4.523251361483762e-05
pickup_7d,4.408488171371984e-05,4.4084881713719845e-05
pickup_3d_over_7d,3.0749224693386266e-05,3.074922469338627e-05
pickup_velocity_3d,1.1098443334548454e-05,1.1098443334548456e-05
pickup_velocity_7d,1.0169122025267834e-05,1.0169122025267836e-05
pickup_velocity_14d,9.356229430538781e-06,9.356229430538783e-06
